time (s),sample(v("/vout" ?result "tran") 9n 640n "linear" 10n ) (V)
9.000E-9,1.025
19.00E-9,1.275
29.00E-9,1.338
39.00E-9,1.213
49.00E-9,900.0E-3
59.00E-9,587.5E-3
69.00E-9,400.0E-3
79.00E-9,400.0E-3
89.00E-9,650.0E-3
99.00E-9,962.5E-3
109.0E-9,1.275
119.0E-9,1.338
129.0E-9,1.213
139.0E-9,962.5E-3
149.0E-9,587.5E-3
159.0E-9,400.0E-3
169.0E-9,400.0E-3
179.0E-9,587.5E-3
189.0E-9,962.5E-3
199.0E-9,1.213
209.0E-9,1.338
219.0E-9,1.275
229.0E-9,962.5E-3
239.0E-9,650.0E-3
249.0E-9,400.0E-3
259.0E-9,400.0E-3
269.0E-9,587.5E-3
279.0E-9,900.0E-3
289.0E-9,1.213
299.0E-9,1.338
309.0E-9,1.275
319.0E-9,1.025
329.0E-9,712.5E-3
339.0E-9,462.5E-3
349.0E-9,400.0E-3
359.0E-9,525.0E-3
369.0E-9,837.5E-3
379.0E-9,1.150
389.0E-9,1.338
399.0E-9,1.338
409.0E-9,1.088
419.0E-9,775.0E-3
429.0E-9,462.5E-3
439.0E-9,400.0E-3
449.0E-9,525.0E-3
459.0E-9,775.0E-3
469.0E-9,1.150
479.0E-9,1.338
489.0E-9,1.338
499.0E-9,1.150
509.0E-9,775.0E-3
519.0E-9,525.0E-3
529.0E-9,400.0E-3
539.0E-9,462.5E-3
549.0E-9,775.0E-3
559.0E-9,1.088
569.0E-9,1.338
579.0E-9,1.338
589.0E-9,1.150
599.0E-9,837.5E-3
609.0E-9,525.0E-3
619.0E-9,400.0E-3
629.0E-9,462.5E-3
639.0E-9,712.5E-3
